Reason;File;Name;Auth;Year;;
Anton;jit2011.pdf;human papillomavirus vaccine introduction in low-income and middle-income countries guidance on the use of cost-effectiveness models;Mark Jit, Nadia Demarteau, Elamin Elbasha, Gary Ginsberg, Jane Kim, Naiyana Praditsitthikorn,Edina Sinanovic, Raymond Hutubessy;2011;;
Anton;chen2011.pdf;cost-effectiveness analysis for pap smear screening and human papillomavirus dna testing and vaccination;Meng-Kan Chen, Hui-Fang Hung, Stephen Duffy, Amy Ming-Fang Yen, Hsiu-Hsi Chen;2011;;
Anton;goldie2011.pdf;model-based analyses to compare health and economic outcomes of cancer control inclusion of disparities;Sue J Goldie, Norman Daniels;2011;;
Anton;draisma2013.pdf;a note on the catch-up time method for estimating lead or sojourn time in prostate cancer screening;Gerrit Draisma, Joost van Rosmalena ;2013;;
Anton;edwards2010.pdf;annual report to the nation on the status of cancer 1975-2006 featuring colorectal cancer trends and impact of interventions risk factors screening and treatment to reduce future rates;Brenda K Edwards,Elizabeth Ward,Betsy A Kohler, Christie Eheman, Ann G Zauber,Robert N Anderson,Ahmedin Jemal, Maria J Schymura,Iris Lansdorp-Vogelaar, Laura C Seeff, Marjolein van Ballegooijen, S Luuk Goede, Lynn A G Ries;2009;;
Anton;dhar2018.pdf;Catalyzing Novel Approaches to Rapid, Accurate, and Affordable Early Cancer Detection;Asif Dhar, Beth Meagher, Andrew Ryscavage;2018;;
Anton;meza2014.pdf;comparative analysis of 5 lung cancer natural history and screening models that reproduce outcomes of the nlst and plco trials;Rafael Meza, Kevin ten Haaf, Chung Yin Kong, Ayca Erdogan, William C Black, Martin C Tammemagi, Sung Eun Choi, Jihyoun Jeon, Summer S Han, Vidit Munshi,Joost van Rosmalen, Paul Pinsky, Pamela M McMahon, Harry J de Koning, Eric J Feuer, William D Hazelton, Sylvia K Plevritis ;2014;;
Anton;ladabaum2010.pdf;cost-effectiveness of colorectal cancer screening in high-risk spanish patients use of a validated model to inform public policy;Uri Ladabaum, Angel Ferrandez, Angel Lanas;2010;;
Anton;silvaillanes2018.pdf;critical analysis of markov models used for the economic evaluation of colorectal cancer screening a systematic review;Nicolas Silva-Illanes, Manuel Espinoza;2018;;
Anton;gunsoy2014.pdf;estimating breast cancer mortality reduction and overdiagnosis due to screening for different strategies in the united kingdom;N B Gunsoy, M Garcia-Closas, S M Moss;2014;;
Anton;westra2013.pdf;Inclusion of the benefits of enhanced cross protection against cervical cancer and prevention of genital warts in the cost-effectiveness analysis of human papillomavirus vaccination in the Netherlands;Tjalke A Westra, Irina Stirbu-Wagner, Sara Dorsman, Eric D Tutuhatunewa, Edwin L de Vrij, Hans W Nijman,Toos Daemen, Jan C Wilschut, Maarten J Postma;2013;;
Anton;Steen2015.pdf;Optimal Colorectal Cancer Screening in States? Low-Income, Uninsured Populations The Case of South Carolina;Alex van der Steen, Amy B Knudsen, Frank van Hees,Gailya P Walter, Franklin G Berger, Virginie G Daguise,Karen M Kuntz, Ann G Zauber, Marjolein van Ballegooijen,Iris Lansdorp-Vogelaar;2015;;
Anton;kobayashi2007.pdf;prostate cancer screening strategies with re-screening interval determined by individual baseline prostate-specific antigen values are cost-effective;T Kobayashi,R Goto, K Ito, K Mitsumori;2007;;
Anton;10.1002@ijc.31265.pdf;Quality of life assumptions determine which cervical cancer screening strategies are cost-effective;Inge MCM de Kok, Ida J Korfage,Wilbert B van den Hout,Theo JM Helmerhorst,J Dik F Habbema,Marie-Louise Essink-Bot,Marjolein van Ballegooijen,;2018;;
Anton;uuskla2013.pdf;The epidemiological and economic impact of aqua-drivalent human papillomavirus (hpv) vaccine in Estonia;Anneli Uuskla, Andres Mrsepp, Kosuke Kawai, Mait Raag, Mikk Jrisson, Matthew Pillsbury;2013;;
Anton;nihms115777.pdf;trade-offs in cervical cancer prevention balancing benefits and risks;Natasha K Stout, Jeremy D Goldhaber-Fiebert, Jesse D Ortendahl, Sue J Goldie ;2008;;
Anton;rutter2017.pdf;Effect of Time to Diagnostic Testing for Breast, Cervical, and Colorectal Cancer Screening Abnormalities on Screening Efficacy: A Modeling Study;Carolyn M Rutter, Jane J Kim, Reinier GS Meester, Brian L Sprague,Emily A Burger, Ann G Zauber, Mehmet Ali Ergun, Nicole G Campos,Chyke A Doubeni, Amy Trentham-Dietz, Stephen Sy, Oguzhan Alagoz, Natasha Stout,Iris Lansdorp-Vogelaar, Douglas A Corley, Anna N A Tosteson;2017;;
Anton;gulati2012.pdf;the impact of plco control arm contamination on perceived psa screening efficacy;Roman Gulati, Alex Tsodikov, Elisabeth M Wever, Angela B Mariotto, Eveline A M Heijnsdijk, Jeffrey Katcher, Harry J de Koning, Ruth Etzioni;2012;;
Anton;schultz2012.pdf;chapter 7 description of miscan-lung the erasmus mc lung cancer microsimulation model for evaluating cancer control interventions;F W Schultz, R Boer, H J de Koning;2012;;
Anton;hanly2012.pdf;cost-effectiveness of computed tomography colonography in colorectal cancer screening a systematic review;Paul Hanly, Helen Fenlon, Mairead Skally,Linda Sharp;2012;;
Anton;gunsoy2012.pdf;Modelling the overdiagnosis of breast cancer due to mammography screening in women aged 40to 49 in the United Kingdom;Necdet B Gunsoy, Montserrat Garcia-Closas, Sue M Moss;2012;;
Anton;luttjeboer2013.pdf;cost-effectiveness of the prophylactic hpv vaccine an application to the netherlands taking non-cervical cancers and cross-protection into account;J Luttjeboer, TA Westra, JC Wilschut, HW Nijman, T Daemen, MJ Postma;2013;;
Anton;quentin2011.pdf;costs of cervical cancer screening and treatment using visual inspection with acetic acid via and cryotherapy in ghana the importance of scale;Wilm Quentin, Yaw Adu-Sarkodie, Fern Terris-Prestholt, Rosa Legood, Baafuor K Opoku,Philippe Mayaud;2011;;
Anton;vanagas2012.pdf;healthcare spending in the case of a hpv1618 population-wide vaccination programme;Giedrius Vanagas, Zilvinas Padaiga;2012;;
Anton;crowcroft2012.pdf;Human papilloma virus vaccination programs reduce health inequity in most scenarios: a simulation study;Natasha S Crowcroft, Jemila S Hamid, Shelley L Deeks, John Frank,;2012;;
Anton;uhry2010.pdf;multi-state markov models in cancer screening evaluation a brief review and case study;Z Uhry, G Hdelin, M Colonna, B Asselain, P Arveux, A Rogel, C Exbrayat, C Guldenfels, I Courtial, P Soler-Michel, F Molini, D Eilstein, SW Duffy;2010;;
Anton;navernik2014.pdf;output correlations in probabilistic models with multiple alternatives;Klemen Naversnik;2014;;
Anton;zelle2014.pdf;predicting the stage shift as a result of breast cancer screening in low- and middle-income countries a proof of concept;Sten G Zelle, Rob Baltussen, Johannes DM Otten,Eveline AM Heijnsdijk, Guido van Schoor, Mireille JM Broeders,;2014;;
Anton;armstrong2010.pdf;prophylaxis of cervical cancer and related cervical disease a review of the cost-effectiveness of vaccination against oncogenic hpv types;Edward P Armstrong;2010;;
Anton;wever2012.pdf;to be screened or not to be screened modeling the consequences of psa screening for the individual;EM Wever, J Hugosson, EAM Heijnsdijk, CH Bangma, G Draisma, HJ de Koning;2012;;
Anton;yeh2013.pdf;sorting it out pile sorting as a mixed methodology for exploring barriers to cancer screening;Hung-Wen Yeh, Byron J Gajewski, David G Perdue, Angel Cully, Lance Cully, K Allen Greiner, Won S Choi, Christine Makosy Daley;2013;;
Anton;petry2013.pdf;Annual Papanicolaou screening for 5 years among human papillomavirus-negative women;Karl Ulrich Petry, Franziska Rinnau, Gerd Bhmer, Bettina Hollwitz, Alexander Luyten, Nina Buttmann,Martin Brnger, Thomas Iftner;2013;;
Anton;witte2017.pdf;an em algorithm for nonparametric estimation of the cumulative incidence function from repeated imperfect test results;Birgit I Witte, Johannes Berkhof, Marianne A Jonker;2017;;
Anton;10.1093@jnci@djv103.pdf;benefits and harms of mammography screening after age 74 years model estimates of overdiagnosis;Nicolien T van Ravesteyn, Natasha K Stout, Clyde B Schechter,Eveline A M Heijnsdijk, Oguzhan Alagoz, Amy Trentham-Dietz,Jeanne S Mandelblatt, Harry J de Koning;2015;;
Anton;ekwunife2016.pdf;challenges in cost-effectiveness analysis modelling of hpv vaccines in low- and middle-income countries a systematic review and practice recommendations;Obinna I Ekwunife, James F OMahony, Andreas Gerber Grote,Christoph Mosch, Tatjana Paeck, Stefan K Lhachimi,;2016;;
Anton;10.1002@cncr.31141.pdf;comparative effectiveness of prostate cancer screening between the ages of 55 and 69 years followed by active surveillance;Tiago M de Carvalho, Eveline A M Heijnsdijk, Harry J de Koning, ;2017;;
Anton;wu2006.pdf;cost-effectiveness analysis of colorectal cancer screening with stool dna testing in intermediate-incidence countries;Grace Hui-Min Wu, Yi-Ming Wang, Amy Ming-Fang Yen, Jau-Min Wong,Hsin-Chih Lai, Jane Warwick, Tony Hsiu-Hsi Chen,;2006;;
Anton;vok2012.pdf;cost-effectiveness of adding vaccination with the AS04-adjuvanted human papillomavirus 16/18 vaccine to cervical cancer screening in Hungary;Zoltan Voko, Laszlo Nagyjanosi, Zoltan Kalo;2012;;
Anton;romagnuolo2007.pdf;cost-effectiveness of Colorectal Cancer Screening With Computed Tomography Colonography The Impact of Not Reporting Diminutive Lesions;Joseph Romagnuolo;2007;;
Anton;chesson2008.pdf;cost-effectiveness of Human Papillomavirus Vaccination inthe United States;Harrell W Chesson, Donatus U Ekwueme, Mona Saraiya, Lauri E Markowitz;2008;;
Anton;berkhof2006.pdf;evaluation of cervical screening strategies with adjunct high-risk human papillomavirus testing for women with borderline or mild dyskaryosis;Johannes Berkhof, Martine C de Bruijne, Gilda D Zielinski, Nicole WJ Bulkmans, Lawrence Rozendaal,Peter JF Snijders, Rene HM Verheijen, Chris JLM Meijer;2006;;
Anton;duffy2005.pdf;overdiagnosis and overtreatment of breast cancer - estimates of overdiagnosis from two trials of mammographic screening for breast cancer;Stephen W Duffy, Olorunsola Agbaje, Laszlo Tabar, Bedrich Vitak, Nils Bjurstam,Lena Bjrneld, Jonathan P Myles, Jane Warwick;2005;;
Anton;olsen2006.pdf;overdiagnosis sojourn time and sensitivity in the copenhagen mammography screening program;Anne Helene Olsen, Olorunsola F Agbaje, Jonathan P Myles,Elsebeth Lynge,Stephen W Duffy;2006;;
Anton;10.1177@0969141316629505.pdf;The role of pre-invasive disease in overdiagnosis: A microsimulation study comparing mass screening for breast cancer and cervical cancer;Paula A van Luijt, Kirsten Rozemeijer, Steffie K Naber,Eveline AM Heijnsdijk, Joost van Rosmalen,Marjolein van Ballegooijen, Harry J de Koning;2016;;
Anton;jit2014.pdf;cost-effectiveness of female human papillomavirus vaccination in 179 countries a prime modelling study;Mark Jit, Marc Brisson, Allison Portnoy, Raymond Hutubessy;2014;;
Anton;huh2014.pdf;cost-effectiveness of human papillomavirus-16/18 genotyping in cervical cancer screening;Warner K Huh, Erin Williams, Joice Huang, Tommy Bramley, Nick Poulios;2014;;
Anton;duffy2014.pdf;translation of research results to simple estimates of the likely effect of a lung cancer screening programme in the united kingdom;S W Duffy, J K Field, P C Allgood, A Seigneurin;2014;;
Anton;gulati2014.pdf;individualized estimates of overdiagnosis in screen-detected prostate cancer;Roman Gulati, Lurdes Y T Inoue, John L Gore, Jeffrey Katcher, Ruth Etzioni;2014;;
Anton;mcmahon2014.pdf;comparing benefits from many possible computed tomography lung cancer screening programs extrapolating from the national lung screening trial using comparative modeling;Pamela M McMahon, Rafael Meza, Sylvia K Plevritis, William C Black, C Martin Tammemagi,Ayca Erdogan, Kevin ten Haaf, William Hazelton, Theodore R Holford, Jihyoun Jeon,Lauren Clarke, Chung Yin Kong, Sung Eun Choi, Vidit N Munshi, Summer S Han,Joost van Rosmalen, Paul F Pinsky, Suresh Moolgavkar, Harry J de Koning, Eric J Feuer;2014;;
Anton;lansdorpvogelaar2012.pdf;contribution of screening and survival differences to racial disparities in colorectal cancer rates;Iris Lansdorp-Vogelaar, Karen M Kuntz, Amy B Knudsen, Marjolein van Ballegooijen,Ann G Zauber, Ahmedin Jemal;2012;;
Anton;neeser2007.pdf;cost-effectiveness analysis of a quality-controlled mammography screening program from the swiss statutory health-care perspective quantitative assessment of the most influential factors;Kurt Neeser, Thomas Szucs, Jean-Luc Bulliard, Gaudenz Bachmann,Wendelin Schramm;2007;;
Anton;ekwunife2017.pdf;cost-effectiveness of human papilloma virus hpv vaccination in nigeria a decision analysis using pragmatic parameter estimates for cost and programme coverage;Obinna I Ekwunife, Stefan K Lhachimi;2017;;
Anton;han2017 (1).pdf;evaluating the impact of varied compliance to lung cancer screening recommendations using a microsimulation model;Summer S Han, S Ayca Erdogan, Iakovos Toumazis, Ann Leung,Sylvia K Plevritis;2015;;
Anton;mennini2009.pdf;health and economic impact associated with a quadrivalent hpv vaccine in italy;FS Mennini, P Giorgi Rossi, F Palazzo, N Largeron,;2009;;
Anton;meester2017.pdf;Impact of Adenoma Detection on the Benefit of Faecal Testing versus Colonoscopy for Colorectal Cancer;Reinier GS Meester, Chyke A Doubeni, Ann G Zauber,Marjolein van Ballegooijen, Douglas A Corley, Iris Lansdorp-Vogelaar;2017;;
Anton;seigneurin2016.pdf;overdiagnosis and overtreatment associated with breast cancer mammography screening a simulation study with calibration to population-based data;Arnaud Seigneurin, Jose Labarere, Olivier Franois, Catherine Exbrayat,Maylis Dupouy, Marc Filippi, Marc Colonna;2016;;
Anton;seigneurin2015.pdf;overdiagnosis associated with breast cancer screening a simulation study to compare lead-time adjustment methods;Seigneurin A, Labarre J, Duffy SW, Colonna M;2015;;
Anton;lang2011.pdf;quality of life treatments and patients willingness to pay for a complete remission of cervical cancer in taiwan;HUI-CHU LANG, KOYIN CHANG, YUNG-HSIANG YING;2011;;
Anton;jansen2013.pdf;quantifying lead-time bias in risk factor studies of cancer through simulation;Rick J Jansen, Bruce H Alexander, Kristin E Anderson, Timothy R Church ;2013;;
Anton;campos2015.pdf;cervical cancer screening in low-resource settings a cost-effectiveness framework for valuing tradeoffs between test performance and program coverage;Nicole G Campos, Philip E Castle, Thomas C Wright Jr, Jane J Kim;2015;;
Anton;levin2015.pdf;an extended cost-effectiveness analysis of publicly financed hpv vaccination to prevent cervical cancer in china;Carol E Levin, Monisha Sharma, Zachary Olson, Stphane Verguet, Ju-Fang Shi,Shao-Ming Wang, You-Lin Qiao, Dean T Jamison, Jane J Kim;2015;;
Anton;sepp2015.pdf;age-related incidence of cervical cancer supports two aetiological components a population-based register study;K Seppa, J Pitkaniemi, N Malila, M Hakamaa;2015;;
Anton;ruile2015.pdf;screening for breast cancer with breast-ct in a prohta simulation;Georg Ruile, Anatoli Djanatliev, Christine Kriza,Florian Meier, Ines Leb,Willi A Kalender, Peter L Kolominsky-Rabas;2015;;
Anton;lansdorpvogelaar2015.pdf;state disparities in colorectal cancer rates contributions of risk factors screening and survival differences;Iris Lansdorp-Vogelaar, S Lucas Goede, Jiemin Ma, Wu Xiau-Cheng, Karen Pawlish, Marjolein van Ballegooijen, Ahmedin Jemal, ;2015;;
Anton;birnbaum2015.pdf;Projecting Benefits and Harms of Novel Cancer Screening Biomarkers: A Study of PCA3 and Prostate Cancer;Jeanette K Birnbaum, Ziding Feng, Roman Gulati, Jing Fan, Yair Lotan, John T Wei, Ruth Etzioni;2015;;
Anton;kolevakolarova2018.pdf;a modelling study to evaluate the costs and effects of lowering the starting age of population breast cancer screening;Rositsa G Koleva-Kolarova, Alicja M Daszczucka, Chris de Jonge,Mohd Kahlil Abu Hantash, Zhuozhao Z Zhan, Erik Jan Postema, Talitha L Feenstra,Ruud M Pijnappel, Marcel JW Greuter, Geertruida H de Bocka ;2018;;
Anton;mcleod2017.pdf;Colorectal cancer screening: How health gains and cost-effectiveness vary by ethnic group, the impact on health inequalities, and the optimal age-range to screen;Melissa McLeod,Giorgi Kvizhinadze,Matt Boyd,Jan Barendregt,Diana Sarfati,Nick Wilson,Tony Blakely;2017;;
Anton;kafadar2005.pdf;computational methods in medical decision making to screen or not to screen;Karen Kafadar, Philip C Prorok;2005;;
Anton;pataky2014 (1).pdf;cost-effectiveness of annual versus biennial screening mammography for women with high mammographic breast density;Reka Pataky, Zahra Ismail, Andrew J Coldman, Mark Elwood,Karen Gelmon, Lindsay Hedden, Greg Hislop, Lisa Kan,Bonnie McCoy, Ivo A Olivotto, Stuart Peacock;2014;;
Anton;10.1093@jnci@94.3.193.pdf;cost-effectiveness of cervical cancer screening comparison of screening policies;M Elske van den Akker-van Marle, Marjolein van Ballegooijen,Gerrit J van Oortmarssen, Rob Boer, J Dik F Habbema;2002;;
Anton;10.2307@41995445.pdf;cost-effectiveness of high-risk human papillomavirus testing for cervical cancer screening in quebec canada;Arthi Vijayaraghavan, Molly B Efrusy, Marie-Hlne Mayrand, Christopher CSantas, Patricia Goggin;2010;;
Anton;rogoza2009.pdf;cost-effectiveness of prophylactic vaccination against human papillomavirus 1618 for the prevention of cervical cancer adaptation of an existing cohort model to the situation in the netherlands;RM Rogoza, TAWestra, N Ferko, JJ Tamminga, MF Drummond,T Daemen, JC Wilschut, MJ Postma,;2009;;
Anton;pickhardt2008.pdf;is there sufficient mdct capacity to provide colorectal cancer screening with ct colonography for the us population;Perry J Pickhardt,Cesare Hassan,Andrea Laghi,David H Kim,Angelo Zullo,Franco Iafrate,Sergio Morini;2008;;
Anton;etzioni2002.pdf;overdiagnosis due to prostate-specific antigen screening lessons from us prostate cancer incidence trends;Ruth Etzioni, David F Penson, Julie M Legler, Dante di Tommaso, Rob Boer,Peter H Gann, Eric J Feuer;2002;;
Anton;stoykova2008.pdf;putting national institute for health and clinical excellence guidance into practice a cost minimization model of a national roll-out of liquid based cytology in england;Boyka Stoykova,Georgi Kuzmanov,Robin Dowie;2008;;
Anton;myers2000.pdf;setting the target for a better cervical screening test characteristics of a cost-effective test for cervical neoplasia screening;Evan R Myers, Douglas C Mccrory, Sujha Subramanian, Nancy Mccall, Kavita Nanda, Mhs,Santanu Datta, David B Matchar;2000;;
Anton;luttjeboer2016.pdf;threshold cost-effectiveness analysis for a therapeutic vaccine against hpv-1618-positive cervical intraepithelial neoplasia in the netherlands;Jos Luttjeboer, Didik Setiawan, Qi Cao, Toos CAHH Daemen, Maarten J Postma;2016;;
Anton;silva2016.pdf;comparison of markov models used for the economic evaluation of colorectal cancer screening a systematic review;NS Silva;2016;;
Anton;ladabaum2016.pdf;Comparative Effectiveness and cost-effectiveness of a Multi-target Stool DNA Test to Screen for Colorectal Neoplasia;Uri Ladabaum, Ajitha Mannalithara, ;2016;;
Anton;bertsimas2016.pdf;optimal healthcare decision making under multiple mathematical models application in prostate cancer screening;Dimitris Bertsimas, John Silberholz, Thomas Trikalinos;2016;;
Anton;smith2016.pdf;transitioning from cytology-based screening to hpv-based screening at longer intervals implications for resource use;Megan A Smith, Dorota Gertig, Michaela Hall, Kate Simms, Jie-Bin Lew, Michael Malloy,Marion Saville, Karen Canfell,;2016;;
Anton;carlsson2016.pdf;estimating the harms and benefits of prostate cancer screening as used in common practice versus recommended good practice a microsimulation screening analysis;Sigrid V Carlsson, Tiago M de Carvalho, Student Monique J Roobol, Jonas Hugosson, Anssi Auvinen, Maciej Kwiatkowski, Arnauld Villers, Marco Zappa, Vera Nelen, Alvaro Paez, James A Eastham, Hans Lilja,Harry J de Koning, Andrew J Vickers, Eveline A M Heijnsdijk ;2016;;
Anton;goldwasser2016.pdf;Estimation of the tumor size at cure threshold among aggressive non-small cell lung cancers (NSCLCs): Evidence from The Surveillance, Epidemiology, and End Results Program (SEER) and the National Lung Screening Trial (NLST).;Deborah L Goldwasser,;2016;;
Anton;liu2016.pdf;Effect of vaccination age on cost-effectiveness of human papillomavirus vaccination against cervical cancer in China;Yi-Jun Liu, Qian Zhang, Shang-Ying Hu, Fang-Hui Zhao;2016;;
Anton;posso2016.pdf;cost-effectiveness of Double Reading versus Single Reading of Mammograms in a Breast Cancer Screening Programme;Margarita Posso, Misericrdia Carles, Montserrat Ru, Teresa Puig,Xavier Bonfill;2016;;
Anton;huang2017.pdf;a bayesian simulation model for breast cancer screening incidence treatment and mortality;Xuelin Huang, Yisheng Li, Juhee Song, Donald A Berry ;2017;;
Noneg;carter2003.pdf;A computer model for the study of breast cancer;KJ Carter, F Castro, E Kessler, B Erickson;2003;;
q12;kulasingam2007.pdf;a cost-effectiveness analysis of adding a human papillomavirus vaccine to the australian national cervical cancer screening program;S Kulasingam, L Connelly, E Conway, JS Hocking, E Myers, DG Regan, D Roder, J Ross, G Wain;2007;;
q12;dee2009.pdf;a cost-utility analysis of adding a bivalent or quadrivalent hpv vaccine to the irish cervical screening programme;Anne Dee, Fenton Howell;2009;;
q12;guerrero2015.pdf;a cost-utility analysis of cervical cancer screening and human papillomavirus vaccination in the philippines;Guerrero AM, Genuino AJ, Santillan M, Praditsitthikorn N, Chantarastapornchit V, Teerawattananon Y, Alejandria M, Toral JA;2015;;
q12;villanti2013.pdf;a cost-utility analysis of lung cancer screening and the additional benefits of incorporating smoking cessation interventions;Andrea C Villanti, Yiding Jiang, David B Abrams, Bruce S Pyenson;2013;;
FromReview;khandker2000.pdf;A DECISION MODEL AND cost-effectiveness ANALYSIS OF COLORECTAL CANCER SCREENING AND SURVEILLANCE GUIDELINES FOR AVERAGE-RISK ADULTS;Rezaul K Khandker,Jane D Dulski,Jeffrey B Kilpatrick,Randall P Ellis,Janet B Mitchell, William B Baine;2000;;
Anton;akhavantabatabaei2016.pdf;a markov decision process model for cervical cancer screening policies in colombia;Akhavan-Tabatabaei R, Sanchez DM, Yeung TG;2016;;
FromReview;plevritis2001.pdf;A mathematical algorithm that computes breast cancer sizes and doubling times detected by screening.;S Plevritis;2001;;
