mark;title;abstract;journal;authors;pubmed_keywords;;;;;;;;;;;;;;
1;The cost-effectiveness of mammography screening: evidence from a microsimulation model for New Zealand.;Abstract Mammography screening currently represents the only means by which the mortality rate from breast cancer can be modified substantially. A national mammography screening programme is being considered for New Zealand, and pilot programmes were established in two regions (Otago/Southland and Waikato) in 1991 to determine the potential costs and benefits of mammography for New Zealand women. The aim of this paper is to explore the cost-effectiveness of mammography screening in New Zealand relative to no screening, and to examine the marginal change in costs and benefits of altering programme characteristics such as the age of women invited and screening frequency. Cost-effectiveness is measured by the net cost (the costs of screening minus the treatment savings averted by the early detection of cancers) per year of life gained, from the perspective of the public health care sector. A microsimulation computer model, MICROLIFE, was developed to facilitate the estimation of mortality reduction and cost-effectiveness. The results show that, while mammography screening does not 'save money' overall, the cost per year of life saved for a range of policies compares favourably with other New Zealand health services, and is comparable to the results from economic evaluations of mammography screening overseas. Of those regimes considered, screening women 50-64 years of age at 3-yearly intervals appears to be most cost-effective.;Health Policy. 1996 Nov.38(2):101-15.;Szeto KL1, Devlin NJ.;Research Support, Non-U.S. Gov't,Review,Breast Neoplasms/economics*,Breast Neoplasms/epidemiology,Breast Neoplasms/mortality,Computer Simulation,Cost-Benefit Analysis/statistics & numerical data*,Data Collection,Female,Health Care Costs/statistics & numerical data*,Health Services Research,Humans,Mammography/economics*,Mammography/statistics & numerical data,Mass Screening/economics*,Mass Screening/statistics & numerical data,Middle Aged,New Zealand/epidemiology,Pilot Projects,Women's Health Services/economics*,Women's Health Services/statistics & numerical data;;;;;;;;;;;;;;
1;The cost-effectiveness of immunochemical tests for colorectal cancer screening.;Abstract BACKGROUND: The optimal immunochemical test to use for generalised mass screening is still under debate in France. AIM: To compare the cost and effectiveness in biennial screening for colorectal cancer of fifteen strategies consisting of the three-stool sample un-rehydrated guaiac faecal occult blood test and three immunochemical tests: Magstream, FOB-Gold and OC-Sensor, at different positivity cut-off levels and stool-sample collection. METHODS: A Markov model was used to compare these strategies in a general population of 100,000 individuals aged 50-74 over a 20-year period. RESULTS: Immunochemical tests were efficient strategies compared with guaiac faecal occult blood test. When all 15 strategies were compared with each other, only five of them remained efficient: the one- and two-stool sample Magstream, the one- and two-stool sample FOB-Gold with the 176 ng/mL cut-off, and the two-stool sample OC-Sensor with the 150 ng/mL cut-off. Sensitivity analyses showed that, at an identical price, the one-stool sample OC-Sensor was the most efficient strategy, and outperformed FOB-Gold. CONCLUSION: One-stool immunochemical testing can be considered a promising alternative to the guaiac faecal occult blood test for colorectal cancer mass screening in the general population. Competition between manufacturers should now be introduced to reduce purchase price differences. Copyright © 2013 Editrice Gastroenterologica Italiana S.r.l. Published by Elsevier Ltd. All rights reserved.;Dig Liver Dis. 2014 Jan.46(1):76-81. doi: 10.1016/j.dld.2013.07.018. Epub 2013 Sep 4.;Lejeune C1, Le Gleut K2, Cottet V3, Galimard C4, Durand G2, Dancourt V3, Faivre J3.;Research Support, Non-U.S. Gov't,Aged,Colorectal Neoplasms/diagnosis*,Colorectal Neoplasms/economics,Cost-Benefit Analysis,Early Detection of Cancer/economics,Early Detection of Cancer/instrumentation*,Female,Humans,Immunochemistry/economics,Immunochemistry/instrumentation*,Male,Markov Chains,Mass Screening/economics,Mass Screening/instrumentation,Middle Aged,Occult Blood*;;;;;;;;;;;;;;
1;The cost-effectiveness of cervical screening in Australia: what is the impact of screening at different intervals or over a different age range?;Abstract OBJECTIVE: To estimate the cost-effectiveness of altering the currently recommended interval and age range for cervical screening of Australian women. METHODS: The cost and effectiveness estimates of alternative screening strategies were generated using an established decision model. This model incorporated a Markov model (of the natural history of cervical cancer and pre-cancerous lesions) and decision trees which: 'mapped' the various pathways to cervical cancer screening. the follow-up of abnormal Pap test results. and the management of confirmed lesions. The model simulated a hypothetical large cohort of Australian women from age 15 to age 85 and calculated the accumulated costs and life-years under each screening strategy. RESULTS: Our model estimated that moving from the current two-yearly screening strategy to annual screening (over the same age range) would cost $379,300 per additional life-year saved. Moving from the current strategy to three-yearly screening would yield $117,100 of savings per life-year lost (costs and effects both discounted at 5% per year), with a relatively modest (<5%) reduction in the total number of life-years saved by the program. CONCLUSIONS: Although moving to annual screening would save some additional lives, it is not a cost-effective strategy. Consideration should be given to increasing the recommended interval for cervical screening. However, the net value of any such shift to less effective (e.g. less frequent) and less costly screening strategies will require better evidence about the cost-effectiveness of strategies that encourage non-screeners or irregular screeners to have a Pap test more regularly.;Aust N Z J Public Health. 2008 Feb.32(1):43-52. doi: 10.1111/j.1753-6405.2008.00165.x.;Anderson R1, Haas M, Shanahan M.;Adolescent,Adult,Age Factors,Aged,Aged, 80 and over,Australia,Cost Savings,Cost-Benefit Analysis,Decision Support Techniques,Decision Trees,Female,Humans,Markov Chains,Mass Screening/economics*,Middle Aged,Program Evaluation,Uterine Cervical Neoplasms/diagnosis*,Uterine Cervical Neoplasms/economics;;;;;;;;;;;;;;
1;The contribution of risk prediction models to early detection of lung cancer.;Abstract Low-dose computed tomography screening is a strategy for early diagnosis of lung cancer. The success of such screening will be dependent upon identifying populations at sufficient risk in order to maximise the benefit-to-harm ratio of the intervention. To facilitate this, the lung cancer risk prediction community has established several risk models with good predictive performance. This review focuses on current progress in risk modelling for lung cancer prediction, with some views on future development.;J Surg Oncol. 2013 Oct.108(5):304-11. doi: 10.1002/jso.23384. Epub 2013 Aug 29.;Field JK1, Chen Y, Marcus MW, Mcronald FE, Raji OY, Duffy SW.;Research Support, Non-U.S. Gov't,Review,Early Detection of Cancer*,Female,Humans,Lung Neoplasms/diagnosis*,Male,Models, Statistical,Risk,Risk Reduction Behavior,Tomography, X-Ray Computed,09/61/01/Department of Health/United Kingdom;;;;;;;;;;;;;;
0;The clinical effectiveness and cost-effectiveness of screening for anal squamous intraepithelial lesions in homosexual and bisexual HIV-positive men.;Abstract CONTEXT: Homosexual and bisexual men infected with human immunodeficiency virus (HIV) are at increased risk for human papillomavirus-related anal neoplasia and anal squamous cell carcinoma (SCC). OBJECTIVE: To estimate the clinical benefits and cost-effectiveness of screening HIV-positive homosexual and bisexual men foranal squamous intraepithelial lesions (ASIL) and anal SCC. DESIGN: Cost-effectiveness analysis performed from a societal perspective that used reference case recommendations from the Panel on Cost-Effectiveness in Health and Medicine. A state-transition Markov model was developed to calculate lifetime costs, life expectancy, and quality-adjusted life expectancy for no screening vs several screening strategies for ASIL and anal SCC using anal Papanicolaou (Pap) testing at different intervals. Values for incidence, progression, and regression of anal neoplasia. efficacy of screening and treatment. natural history of HIV. health-related quality of life. and costs were obtained from the literature. SETTING AND PARTICIPANTS: Hypothetical cohort of homosexual and bisexual HIV-positive men living in the United States. MAIN OUTCOME MEASURES: Life expectancy, quality-adjusted life expectancy, quality-adjusted years of life saved, lifetime costs, and incremental cost-effectiveness ratio. RESULTS: Screening for ASIL increased quality-adjusted life expectancy at all stages of HIV disease. Screening with anal Pap tests every 2 years, beginning in early HIV disease (CD4 cell count >0.50 x 10(9)/L), resulted in a 2.7-month gain in quality-adjusted life expectancy for an incremental cost-effectiveness ratio of $13,000 per quality-adjusted life year saved. Screening with anal Pap tests yearly provided additional benefit at an incremental cost of $16,600 per quality-adjusted life year saved. If screening was not initiated until later in the course of HIV disease (CD4 cell count <0.50 x 10(9)/L), then yearly Pap test screening was preferred due to the greater amount of prevalent anal disease (cost-effectiveness ratio of less than $25,000 per quality-adjusted life year saved compared with no screening). Screening every 6 months provided little additional benefit over that of yearly screening. Results were most sensitive to the rate of progression of ASIL to anal SCC and the effectiveness of treatment of precancerous lesions. CONCLUSIONS: Screening HIV-positive homosexual and bisexual men for ASIL and anal SCC with anal Pap tests offers quality-adjusted life expectancy benefits at a cost comparable with other accepted clinical preventive interventions.;JAMA. 1999 May 19.281(19):1822-9.;Goldie SJ1, Kuntz KM, Weinstein MC, Freedberg KA, Welton ML, Palefsky JM.;Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, P.H.S.,Adult,Anus Neoplasms/complications,Anus Neoplasms/diagnosis*,Anus Neoplasms/economics,Bisexuality,Carcinoma, Squamous Cell/complications,Carcinoma, Squamous Cell/diagnosis*,Carcinoma, Squamous Cell/economics,Cost-Benefit Analysis,Cytodiagnosis/economics*,Disease Progression,HIV Infections/complications*,HIV Infections/economics,HIV Infections/physiopathology,Homosexuality,Humans,Male,Markov Chains,Mass Screening/economics*,Precancerous Conditions/complications,Precancerous Conditions/diagnosis*,Precancerous Conditions/economics,Quality-Adjusted Life Years,Risk Factors,Sensitivity and Specificity,R01 CA054053/CA/NCI NIH HHS/United States,5 M01-RR-00079/RR/NCRR NIH HHS/United States,R01-CA 54053/CA/NCI NIH HHS/United States,U64/CCU114927-01/PHS HHS/United States;;;;;;;;;;;;;;
0;The clinical breast exam: a skill that should not be abandoned.;Abstract The clinical breast exam (CBE) is an important tool in the care of women. However, the utility of the screening CBE has been called into question. This article discusses the importance of the CBE as a physical diagnosis tool. Recommendations regarding screening with CBE are reviewed, and evidence surrounding breast cancer screening using CBE is briefly summarized. Clinicians should strive to provide high quality CBEs as part of the general clinical exam for women, particularly those who present with breast complaints, and for patients who choose to have CBE screening. In conclusion, there is a role for the CBE in the care of women, and clinicians should be proficient at performing these exams. Simulation teaching technologies are now available at Department of Veteran Affairs (VA) facilities to enable clinicians to improve their CBE skills.;J Gen Intern Med. 2013 May.28(5):719-22. doi: 10.1007/s11606-013-2373-9.;Bryan T1, Snyder E.;Breast Neoplasms/diagnosis*,Clinical Competence*,Early Detection of Cancer/methods,Early Detection of Cancer/standards,Education, Medical/methods,Female,Humans,Mammography,Medical Oncology/education,Patient Simulation,Physical Examination/methods,Physical Examination/standards*,United States;;;;;;;;;;;;;;
0;The benefits of cancer screening in kidney transplant recipients: a single-center experience.;Abstract The frequency of malignancy is increasing in kidney transplant recipients. Posttransplant malignancy (PTM) is a major cause of long-term graft survival inhibition. In this study, we evaluated the frequency and prognosis of PTM at our center and examined the efficacy of cancer screening. Between 1972 and 2013, 750 patients were followed-up at our center. Annual physical examinations and screenings were performed to detect PTM. We investigated the detail of two distinctive cancer groups: screening-detected cancers and symptom-detected cancers. Seventy-seven PTM were identified during the follow-up period. The mean age at the initial PTM detection was 43.6 ± 12.8 years. The mean interval from transplantation to cancer diagnosis was 134.5 ± 11.3 months. Among the 77 patients, posttransplant lymphoproliferative disease (PTLD) was the most common cancer (19.5%, 15/77), followed by renal cell carcinoma (15.6%, 12/77). Of the cancer cases, 46.8% (36/77) were detected via screening. The most frequently screening-detected cancer was renal cell carcinoma of the native kidney and breast cancer (22.2%, 8/36). However, it was difficult to detect PTLD, urothelial carcinoma, and colorectal cancer via screening. Interestingly, Cox proportional regression analyses revealed nonscreened recipients to be a significant prognostic factor for PTM (P < 0.001). This study is the first to report that appropriate screening tests play a key role in early PTM diagnosis and lead to reduce the mortality rate in kidney transplant recipients. These findings support the provision of long-term appropriate screening for kidney transplant recipients.;Cancer Med. 2016 Feb.5(2):153-8. doi: 10.1002/cam4.568. Epub 2015 Dec 21.;Kato T1, Kakuta Y1, Abe T1, Yamanaka K1, Imamura R1, Okumi M2, Ichimaru N3, Takahara S3, Nonomura N1.;Adult,Early Detection of Cancer*/methods,Female,Follow-Up Studies,Humans,Incidence,Kidney Transplantation*/adverse effects,Male,Middle Aged,Neoplasms/diagnosis*,Neoplasms/epidemiology,Neoplasms/etiology*,Neoplasms/mortality,Prognosis,Proportional Hazards Models,Survival Analysis,Transplant Recipients*;;;;;;;;;;;;;;
0;The accuracy of digital infrared imaging for breast cancer detection in women undergoing breast biopsy.;Abstract BACKGROUND: Mammography has a lower sensitivity for breast cancer detection in younger women and those with dense breasts. Recent improvements in digital infrared breast imaging suggest there may be a role for this technology and we have studied its performance in 100 women prior to breast needle core biopsy (CB). METHODS: All patients were imaged using a digital infrared breast (DIB) scan (Sentinel BreastScan) prior to breast biopsy. Analysis of the infrared scans was performed, blinded to biopsy results, in four different ways: Sentinel screening report, Sentinel artificial intelligence (neural network), expert manual review and NoTouch BreastScan a novel artificial intelligence programme. RESULTS: Of 106 biopsies performed in 100 women, 65 were malignant and 41 were benign. Sensitivity of Sentinel screening (53%) and Sentinel neural network (48%) was low but analysis with NoTouch software (70%) was much closer to expert manual review (78%). Sensitivity (78%) and specificity (75%) using NoTouch BreastScan were higher in women under 50 and the combination of mammography and DIB, with NoTouch interpretation, in this age group resulted in a sensitivity of 89%. CONCLUSION: DIB using NoTouch is an effective adjunctive test for breast cancer detection in women under 70 and appears to be particularly effective in women under 50 where maximal sensitivity (78%) and specificity (75%) were observed. The combined sensitivity of NoTouch BreastScan and mammography in women under 50 was encouraging at 89%, suggesting a potential way forward for a dual imaging approach in this younger age group.;Eur J Surg Oncol. 2010 Jun.36(6):535-40. doi: 10.1016/j.ejso.2010.04.003. Epub 2010 May 10.;Wishart GC1, Campisi M, Boswell M, Chapman D, Shackleton V, Iddles S, Hallett A, Britton PD.;Research Support, Non-U.S. Gov't,Aged,Biopsy, Needle,Breast Neoplasms/pathology*,Female,Humans,Infrared Rays,Middle Aged,Neoplasm Staging,Neural Networks (Computer),Predictive Value of Tests,Sensitivity and Specificity,Thermography/methods*;;;;;;;;;;;;;;
0;Techniques and predictive models to improve prostate cancer detection.;Abstract The use of prostate-specific antigen (PSA) as a screening test remains controversial. There have been several attempts to refine PSA measurements to improve its predictive value. These modifications, including PSA density, PSA kinetics, and the measurement of PSA isoforms, have met with limited success. Therefore, complex statistical and computational models have been created to assess an individual's risk of prostate cancer more accurately. In this review, the authors examined the methods used to modify PSA as well as various predictive models used in prostate cancer detection. They described the mathematical underpinnings of these techniques along with their intrinsic strengths and weaknesses, and they assessed the accuracy of these methods, which have been shown to be better than physicians' judgment at predicting a man's risk of cancer. Without understanding the design and limitations of these methods, they can be applied inappropriately, leading to incorrect conclusions. These models are important components in counseling patients on their risk of prostate cancer and also help in the design of clinical trials by stratifying patients into different risk categories. Thus, it is incumbent on both clinicians and researchers to become familiar with these tools. Cancer 2009.115(13 suppl):3085-99. (c) 2009 American Cancer Society.;Cancer. 2009 Jul 1.115(13 Suppl):3085-99. doi: 10.1002/cncr.24357.;Herman MP1, Dorsey P, John M, Patel N, Leung R, Tewari A.;Research Support, Non-U.S. Gov't,Bayes Theorem,Forecasting,Humans,Male,Models, Statistical*,Neural Networks (Computer),Nomograms,Prostate-Specific Antigen/analysis*,Prostatic Neoplasms/diagnosis*,Risk Assessment,Prostate-Specific Antigen;;;;;;;;;;;;;;
0;Teaching strategies to facilitate breast cancer screening by African-American women.;Abstract The objective of this paper is to report on the recent literature concerning coverage of breast cancer epidemiology, the barriers to breast cancer screening, and the strategies to facilitate screening by African-American women. Based on these findings, the author suggests culturally appropriate techniques to be used to promote breast cancer screening in African-American women. Barriers to breast cancer screening in African-American women include emotional reasons, spiritual/religious reasons, fatalism, logistic concerns, lack of knowledge, and lack of follow-up by health-care professionals. Numerous strategies that have been targeted toward African-American women are reported. These include storytelling, witnessing, and testimonies. providing social support and having social support networks. and conducting multifaceted programs that include culturally specific breast health information. Based on the literature reviewed, the author suggests some examples of creative and culturally appropriate techniques that have been implemented with African-American women and that have resulted in positive feedback. These examples include the use of testimonies, photographs, prose, narratives, poetry, and quotations.;J Natl Black Nurses Assoc. 2008 Dec.19(2):42-9.;Gibson LM1.;African Continental Ancestry Group*,Breast Neoplasms/diagnosis*,Breast Neoplasms/mortality,Creativity,Female,Health Knowledge, Attitudes, Practice,Humans,Likelihood Functions,Mass Screening/utilization*,Religion,Social Support,Survival Rate;;;;;;;;;;;;;;
0;Synthesis, in Vitro, and in Vivo Biological Evaluation and Molecular Docking Analysis of Novel 3-(3-oxo-substitutedphenyl-3-)4-(2-(piperidinyl)ethoxy)phenyl)propyl)-2H-chromen-2-one Derivatives as Anti-breast Cancer Agents.;Abstract The analogs of coumarin-chalcones have been reported to exhibit antineoplastic, anti-allergic, antihepatoprotective, and estrogenic activity. Herein, we have reported 3-(3-oxo-substitutedphenyl-3-)4-(2-(piperidinyl)ethoxy)phenyl)propyl)-2H-chromen-2-one derivatives as a new class of compounds that exhibit selectivity for ER-α binding along with antiproliferative and cytotoxic activity on human breast cancer cell line. The active compounds which show prominent activity against estrogen receptor-alpha-positive (ER+) human breast cancer cell lines MCF-7 and Zr-75-1 are subjected to in vivo screening. The Glide XP docking was performed for designed scaffold to optimize its structural requirement for ER-α inhibition.;Chem Biol Drug Des. 2016 Apr.87(4):608-17. doi: 10.1111/cbdd.12696. Epub 2015 Dec 29.;Dube PN1, Waghmare MN1, Mokale SN1.;Research Support, Non-U.S. Gov't,Antineoplastic Agents/chemical synthesis*,Antineoplastic Agents/chemistry,Antineoplastic Agents/pharmacology*,Benzopyrans/chemical synthesis*,Benzopyrans/chemistry,Benzopyrans/pharmacology*,Breast Neoplasms/pathology*,Cell Line, Tumor,Female,Humans,In Vitro Techniques,Magnetic Resonance Spectroscopy,Mass Spectrometry,Molecular Docking Simulation,Antineoplastic Agents,Benzopyrans;;;;;;;;;;;;;;
0;Synthesis of new conjugated coumarin-benzimidazole hybrids and their anticancer activity.;Abstract A series of novel coumarin-benzimidazole hybrids, 3-(1H-benzo[d]imidazol-2-yl)-7-(substituted amino)-2H-chromen-2-one derivatives of biological interest were synthesized. Six out of the newly synthesized compounds were screened for in vitro antitumor activity against preliminary 60 tumor cell lines panel assay. A significant inhibition for cancer cells was observed with compound 8 (more than 50% inhibition) compared with other compounds and active known drug 5-fluorouracil (in some cell lines) as positive control. Compound 8 displayed appreciable anticancer activities against leukemia, colon cancer and breast cancer cell lines.;Bioorg Med Chem Lett. 2013 Jun 15.23(12):3667-72. doi: 10.1016/j.bmcl.2012.12.071. Epub 2013 Jan 4.;Paul K1, Bindal S, Luxami V.;Letter,Research Support, Non-U.S. Gov't,Antineoplastic Agents/chemical synthesis*,Antineoplastic Agents/chemistry,Antineoplastic Agents/pharmacology*,Benzimidazoles/chemical synthesis*,Benzimidazoles/chemistry,Benzimidazoles/pharmacology*,Cell Line, Tumor,Coumarins/chemical synthesis*,Coumarins/chemistry,Coumarins/pharmacology*,Drug Screening Assays, Antitumor,Humans,Molecular Docking Simulation,Antineoplastic Agents,Benzimidazoles,Coumarins;;;;;;;;;;;;;;
0;Survival probability and prognostic factors for breast cancer patients in Vietnam.;Abstract BACKGROUND: Breast cancer is becoming a public health problem in Vietnam. The mortality to incidence ratio of the disease was ranked second among the most common cancers in women. This study estimates the survival probability at 1, 3, and 5 years following diagnosis and determines prognostic factors for breast cancer mortality in Vietnam. METHODS: A survival analysis was conducted based on retrospective data from Hue Central Hospital and the Cancer Registry in Ho Chi Minh City. Using the Kaplan-Meier method, the survival probability of patients with breast cancer was estimated at 1, 3, and 5 years following diagnosis. The covariates among prognostic factors for survival time were studied using an extended Cox proportion hazards model, including time-dependent predictors. RESULTS: Overall survival rates at 1, 3, and 5 years following diagnosis were 0.94, 0.83 and 0.74 respectively. Marital status, education level, stage at diagnosis, and hormone therapy were prognostic factors for mortality. For the stage at diagnosis, the relation to the risk of death for breast cancer was 1.32 (95% CI, 1.22-1.41). Married women faced a risk of death nearly 1.59 times higher than unmarried women (95% CI, 1.09-2.33). Women with higher levels of education and who received hormone therapy had approximately 10% (hazard ratio [HR]: 0.92. 95% CI, 0.89-0.96) and 80% (HR: 0.22. 95% CI, 0.12-0.41) risk reduction of death respectively, compared with those classified as illiterate and those without hormone therapy. CONCLUSIONS: The 5-year survival probability of breast cancer was lower in Vietnam than in countries with similar distributions of the stage at diagnosis. Screening programs and related support policies should be developed to increase the life expectancy of women with breast cancer in Vietnam.;Glob Health Action. 2013 Jan 17.6:1-9. doi: 10.3402/gha.v6i0.18860.;Lan NH1, Laohasiriwong W, Stewart JF.;Research Support, Non-U.S. Gov't,Adult,Age Factors,Aged,Breast Neoplasms/diagnosis*,Breast Neoplasms/epidemiology,Breast Neoplasms/mortality*,Estrogen Replacement Therapy,Female,Humans,Incidence,Kaplan-Meier Estimate,Middle Aged,Neoplasm Staging,Prognosis,Proportional Hazards Models,Socioeconomic Factors,Vietnam/epidemiology,R24 HD050924/HD/NICHD NIH HHS/United States;;;;;;;;;;;;;;
0;Survival of patients with lung cancer, Yazd, Iran.;Abstract BACKGROUND: Lung carcinoma is the leading cause of cancer mortality worldwide. Although the 5-year survival rate nearly tripled from 5-15% over the last 25 years, the estimated number of deaths still exceeds 1.3 million annually. The overall 5-year survival of lung cancer is only 10% in Europe and 15% in the United States. The aim of the current study was to determine the long-term survival and the effect of certain prognostic factors on survival of patients with lung cancer in Yazd city, Iran. METHODS: In this cross-sectional descriptive study, we retrospectively reviewed hospital records and follow-up data of 148 patients with histological proven lung cancer using the cancer data registered between 1998 and 2005 in the pathology department of Shahid Sadoughi educational hospital, Yazd, Iran. Data were extracted from patient documents that included sex, age, clinical manifestations, histopathological report of the tumor and type of treatment given. RESULTS: Overall survival time in all patients was 8.5 months after diagnosis and there was no significant difference in survival according to sex (p=0.958). Histological analysis revealed that squamous cell carcinoma was the most common histologic type (35%). Kaplan-Meier statistical methods estimated the average survival time for SCC to be better (22.6 months) in comparison with the other types of histology (all of them below 10 months). There was a trend towards significance between type of histology and duration of survival (p=0.08). CONCLUSION: It is reasonable to expect that early lung cancer detection, and appropriated treatment, may improve surgical morbidity and mortality. Low survival of lung cancer in our center patients show our shortages in screening programs for early diagnosis. Designing studies with larger sample size that take some other variables like staging of patients is now necessary.;Asian Pac J Cancer Prev. 2012.13(9):4387-91.;Zahir ST1, Mirtalebi M.;Research Support, Non-U.S. Gov't,Adenocarcinoma/mortality*,Adenocarcinoma/pathology,Adult,Age Factors,Aged,Carcinoma, Squamous Cell/mortality*,Carcinoma, Squamous Cell/pathology,Cross-Sectional Studies,Female,Humans,Iran/epidemiology,Kaplan-Meier Estimate,Lung Neoplasms/mortality*,Lung Neoplasms/pathology,Male,Middle Aged,Proportional Hazards Models,Retrospective Studies,Survival Rate,Time Factors;;;;;;;;;;;;;;
0;Survival of first and second primary breast cancer.;Abstract BACKGROUND: A second primary tumor (SPT) in the breast is the most common one seen in clinical practice. There are conflicting reports regarding the incidence and survival of patients with SPT in the breast. METHODS: To elucidate this, data on 139,932 patients with primary breast cancer, reported to the Surveillance, Epidemiology, and End Results Program between 1973 and 1986, were analyzed. Of these, 3431 patients had a contralateral metachronous breast cancer (interval, > 6 months). RESULTS: Survival from the date of diagnosis of the metachronous breast tumors was compared with that of patients with single breast tumors, controlling for age at diagnosis, stage, race, and treatment. In the multivariate analysis, age and stage at diagnosis of first and second tumors were the only variables that significantly influenced survival. The survival of patients with localized SPT was similar to that of patients with a localized single breast tumor. Patients with regionally advanced SPT lived for a shorter time than did corresponding patients with only one tumor. CONCLUSIONS: Patients with single breast cancer were at increased risk of having a SPT in the breast. As a result, efforts for early detection by physical examination and mammography of survivors of single breast cancer are advocated because the survival of patients with a localized SPT in the breast is as good as that of those with a single localized tumor.;Cancer. 1993 Jan 1.71(1):172-6.;Robinson E1, Rennert G, Rennert HS, Neugut AI.;Age Factors,Breast Neoplasms/mortality*,Breast Neoplasms/pathology,Female,Humans,Incidence,Middle Aged,Neoplasm Staging,Neoplasms, Multiple Primary/mortality*,Neoplasms, Multiple Primary/pathology,Proportional Hazards Models,Survival Analysis;;;;;;;;;;;;;;
0;Survival impact index and ultrahigh-dimensional model-free screening with survival outcomes.;Abstract Motivated by ultrahigh-dimensional biomarkers screening studies, we propose a model-free screening approach tailored to censored lifetime outcomes. Our proposal is built upon the introduction of a new measure, survival impact index (SII). By its design, SII sensibly captures the overall influence of a covariate on the outcome distribution, and can be estimated with familiar nonparametric procedures that do not require smoothing and are readily adaptable to handle lifetime outcomes under various censoring and truncation mechanisms. We provide large sample distributional results that facilitate the inference on SII in classical multivariate settings. More importantly, we investigate SII as an effective screener for ultrahigh-dimensional data, not relying on rigid regression model assumptions for real applications. We establish the sure screening property of the proposed SII-based screener. Extensive numerical studies are carried out to assess the performance of our method compared with other existing screening methods. A lung cancer microarray data is analyzed to demonstrate the practical utility of our proposals.;Biometrics. 2016 Dec.72(4):1145-1154. doi: 10.1111/biom.12499. Epub 2016 Feb 22.;Li J1,2,3, Zheng Q4, Peng L5, Huang Z1,3,6.;Research Support, Non-U.S. Gov't,Biomarkers,Biometry/methods*,Computer Simulation,Humans,Lung Neoplasms/mortality*,Microarray Analysis,Models, Statistical*,Statistics, Nonparametric,Survival Analysis*,Biomarkers,R01 HL113548/HL/NHLBI NIH HHS/United States;;;;;;;;;;;;;;
0;Survival analysis of breast cancer patients using Cox and frailty models.;Abstract BACKGROUND: Cox proportional hazard (CPH) model is the most widely used model for survival analysis. When there are unobserved/unmeasured individuals factor, then the results of the Cox proportional hazard model may not be reliable. The purpose of this study was to compare the results of CPH and frailty models in breast cancer (BC) patients. METHODS: A historical cohort study was carried out using medical records gathered from the Fars Province Cancer Registry. The dataset consisted of 769 women having BC referred to Shiraz Namazi Hospital, south of Iran. These patients had been followed for 6 years. After selecting the most important prognostic risk factors on survival, CPH and gamma-frailty Cox models were used to estimate the effects of the risk factors. RESULTS: The results of CPH model showed that, tumor characteristics and number of involved lymph nodes increase the mortality hazard of BC(P<0.05). In addition, the frailty model showed that there is at least a latent factor in the model (P=0.005). CONCLUSION: Both of the frailty and CPH model emphasis that the early detection of BC improves survival in BC patients.;J Res Health Sci. 2012 Dec 13.12(2):127-30.;Faradmal J1, Talebi A, Rezaianzadeh A, Mahjub H.;Research Support, Non-U.S. Gov't,Adult,Aged,Aged, 80 and over,Breast Neoplasms/diagnosis,Breast Neoplasms/mortality*,Breast Neoplasms/pathology,Cohort Studies,Early Detection of Cancer/mortality,Female,Humans,Iran/epidemiology,Lymph Nodes/pathology,Lymphatic Metastasis,Middle Aged,Prognosis,Proportional Hazards Models,Risk Factors,Survival Analysis,Young Adult;;;;;;;;;;;;;;
0;Surface-enhanced Raman spectroscopy + support vector machine: a new noninvasive method for prostate cancer screening?;Abstract Prostate cancer is one of the most common malignancies of the older males worldwide. Early diagnosis and treatment are important to improve the survival of patients. Recently, we developed a new method for prostate cancer screening: by measuring the serum surface-enhanced Raman spectroscopy of prostate cancer patients and normal subjects, combining with classification algorithms of support vector machines, the measured surface-enhanced Raman spectroscopy spectra are successfully classified with accuracy of 98.1%. Although the practical application faces several difficulties, we believe that this label-free serum surface-enhanced Raman spectroscopy analysis technique combined with support vector machine diagnostic algorithms will become a powerful tool for noninvasive prostate cancer screening in the future.;Expert Rev Anticancer Ther. 2015 Jan.15(1):5-7. doi: 10.1586/14737140.2015.992419.;Li S1, Guo Z, Liu Z.;Editorial,Humans,Male,Mass Screening/methods,Predictive Value of Tests,Prostatic Neoplasms/diagnosis*,Spectrum Analysis, Raman/methods*,Support Vector Machine;;;;;;;;;;;;;;
